Algorithm,Processors,Size(bytes),Avg_Latency(us)
1,224,256,268.10
1,224,512,223.23
1,224,1024,230.53
1,224,2048,378.10
1,224,4096,517.46
1,224,8192,636.94
1,224,16384,132.96
1,224,32768,253.74
1,224,65536,542.38
1,224,131072,1133.64
1,224,262144,2275.13
1,224,524288,3952.18
1,224,1048576,8613.53
1,256,1,59.81
1,256,2,39.84
1,256,4,44.38
1,256,8,35.21
1,256,16,43.62
1,256,32,43.08
1,256,64,52.87
1,256,128,249.26
1,256,256,425.89
1,256,512,289.35
1,256,1024,355.14
1,256,2048,368.04
1,256,4096,719.82
1,256,8192,974.44
1,256,16384,205.07
1,256,32768,299.89
1,256,65536,560.69
1,256,131072,1066.55
1,256,262144,1944.96
1,256,524288,4299.64
1,256,1048576,9347.98
2,2,1,82.58
2,2,2,0.20
2,2,4,0.17
2,2,8,0.19
2,2,16,0.19
2,2,32,0.20
2,2,64,0.20
2,2,128,1.53
2,2,256,9.14
2,2,512,1.61
2,2,1024,1.70
2,2,2048,1.73
2,2,4096,8.54
2,2,8192,4.90
2,2,16384,17.43
2,2,32768,6.41
2,2,65536,8.59
2,2,131072,14.77
2,2,262144,24.68
2,2,524288,47.17
2,2,1048576,82.59
2,4,1,0.76
2,4,2,0.19
2,4,4,0.18
2,4,8,0.17
2,4,16,0.17
2,4,32,0.91
2,4,64,0.15
2,4,128,3.08
2,4,256,2.91
2,4,512,2.85
2,4,1024,2.87
2,4,2048,4.98
2,4,4096,8.31
2,4,8192,10.30
2,4,16384,4.29
2,4,32768,23.74
2,4,65536,14.42
2,4,131072,24.74
2,4,262144,40.38
2,4,524288,82.03
2,4,1048576,155.04
2,8,1,11.18
2,8,2,0.90
2,8,4,4.59
2,8,8,0.97
2,8,16,0.95
2,8,32,2.70
2,8,64,1.26
2,8,128,9.50
2,8,256,6.80
2,8,512,10.35
2,8,1024,5.44
2,8,2048,13.55
2,8,4096,13.17
2,8,8192,18.02
2,8,16384,12.05
2,8,32768,16.84
2,8,65536,32.62
2,8,131072,55.94
2,8,262144,102.73
2,8,524288,206.42
2,8,1048576,390.39
2,16,1,9.11
2,16,2,1.07
2,16,4,4.46
2,16,8,3.35
2,16,16,1.01
2,16,32,1.33
2,16,64,1.25
2,16,128,10.60
2,16,256,7.60
2,16,512,9.44
2,16,1024,8.13
2,16,2048,17.08
2,16,4096,21.12
2,16,8192,31.49
2,16,16384,17.95
2,16,32768,27.72
2,16,65536,52.16
2,16,131072,91.28
2,16,262144,201.80
2,16,524288,469.69
2,16,1048576,957.91
2,32,1,5.74
2,32,2,8.59
2,32,4,13.06
2,32,8,4.18
2,32,16,4.54
2,32,32,3.09
2,32,64,6.65
2,32,128,16.47
2,32,256,14.24
2,32,512,28.71
2,32,1024,19.20
2,32,2048,45.59
2,32,4096,38.62
2,32,8192,50.72
2,32,16384,31.66
2,32,32768,43.91
2,32,65536,77.01
2,32,131072,150.15
2,32,262144,292.81
2,32,524288,627.03
2,32,1048576,1222.52
2,48,1,104.67
2,48,2,24.45
2,48,4,13.14
2,48,8,7.78
2,48,16,10.05
2,48,32,8.00
2,48,64,9.82
2,48,128,52.11
2,48,256,42.33
2,48,512,33.00
2,48,1024,62.66
2,48,2048,63.27
2,48,4096,81.49
2,48,8192,94.12
2,48,16384,58.72
2,48,32768,79.00
2,48,65536,134.80
2,48,131072,245.56
2,48,262144,483.47
2,48,524288,917.52
2,48,1048576,1832.49
2,64,1,12.90
2,64,2,16.88
2,64,4,12.15
2,64,8,17.17
2,64,16,1072.15
2,64,32,8.38
2,64,64,25.03
2,64,128,58.97
2,64,256,45.50
2,64,512,36.12
2,64,1024,41.45
2,64,2048,51.42
2,64,4096,77.54
2,64,8192,97.03
2,64,16384,75.20
2,64,32768,88.12
2,64,65536,148.26
2,64,131072,275.47
2,64,262144,533.98
2,64,524288,1096.85
2,64,1048576,2183.62
2,96,1,11.28
2,96,2,58.59
2,96,4,17.38
2,96,8,17.42
2,96,16,27.03
2,96,32,15.31
2,96,64,31.09
2,96,128,99.78
2,96,256,75.54
2,96,512,56.53
2,96,1024,69.16
2,96,2048,92.10
2,96,4096,97.37
2,96,8192,130.39
2,96,16384,82.09
2,96,32768,112.34
2,96,65536,204.82
2,96,131072,362.33
2,96,262144,696.82
2,96,524288,1397.77
2,96,1048576,2764.66
2,128,1,20.69
2,128,2,61.21
2,128,4,20.53
2,128,8,18.70
2,128,16,32.25
2,128,32,20.89
2,128,64,56.98
2,128,128,96.75
2,128,256,84.81
2,128,512,65.03
2,128,1024,125.31
2,128,2048,171.41
2,128,4096,130.76
2,128,8192,159.78
2,128,16384,111.54
2,128,32768,145.06
2,128,65536,267.53
2,128,131072,457.96
2,128,262144,874.21
2,128,524288,1773.93
2,128,1048576,3612.59
2,176,1,3996.07
2,176,2,83.19
2,176,4,30.30
2,176,8,125.14
2,176,16,118.18
2,176,32,27.39
2,176,64,39.66
2,176,128,174.46
2,176,256,583.25
2,176,512,121.08
